5_50_1

WT_NUMBER
50

BSS_NUMBER
5

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME    
1                4149.0000        8980.0000        0.2000           10.0000         
2                3873.0000        6819.0000        0.2000           10.0000         
3                10422.0000       1437.0000        0.2000           10.0000         
4                2093.0000        11057.0000       0.2000           10.0000         
5                2236.0000        12650.0000       0.2000           10.0000         
6                11501.0000       13549.0000       0.2000           10.0000         
7                10765.0000       7718.0000        0.2000           10.0000         
8                2093.0000        6995.0000        0.2000           10.0000         
9                9454.0000        13286.0000       0.2000           10.0000         
10               3244.0000        9147.0000        0.2000           10.0000         
11               11821.0000       6200.0000        0.2000           10.0000         
12               1684.0000        13575.0000       0.2000           10.0000         
13               13330.0000       7684.0000        0.2000           10.0000         
14               11462.0000       10778.0000       0.2000           10.0000         
15               7662.0000        5789.0000        0.2000           10.0000         
16               9473.0000        4772.0000        0.2000           10.0000         
17               6820.0000        4635.0000        0.2000           10.0000         
18               4969.0000        7529.0000        0.2000           10.0000         
19               2172.0000        9747.0000        0.2000           10.0000         
20               7538.0000        3345.0000        0.2000           10.0000         
21               8165.0000        13239.0000       0.2000           10.0000         
22               1118.0000        8117.0000        0.2000           10.0000         
23               11868.0000       9943.0000        0.2000           10.0000         
24               13357.0000       5684.0000        0.2000           10.0000         
25               13099.0000       9880.0000        0.2000           10.0000         
26               7897.0000        9917.0000        0.2000           10.0000         
27               12243.0000       3407.0000        0.2000           10.0000         
28               11743.0000       7372.0000        0.2000           10.0000         
29               2416.0000        4912.0000        0.2000           10.0000         
30               6448.0000        9816.0000        0.2000           10.0000         
31               4511.0000        11179.0000       0.2000           10.0000         
32               12984.0000       1679.0000        0.2000           10.0000         
33               8970.0000        1051.0000        0.2000           10.0000         
34               6728.0000        5949.0000        0.2000           10.0000         
35               3148.0000        13084.0000       0.2000           10.0000         
36               13892.0000       13363.0000       0.2000           10.0000         
37               9194.0000        7122.0000        0.2000           10.0000         
38               10205.0000       10277.0000       0.2000           10.0000         
39               3167.0000        11575.0000       0.2000           10.0000         
40               12187.0000       9052.0000        0.2000           10.0000         
41               10162.0000       2335.0000        0.2000           10.0000         
42               4567.0000        6044.0000        0.2000           10.0000         
43               3569.0000        7757.0000        0.2000           10.0000         
44               8361.0000        4915.0000        0.2000           10.0000         
45               8874.0000        10324.0000       0.2000           10.0000         
46               10848.0000       3524.0000        0.2000           10.0000         
47               9949.0000        6254.0000        0.2000           10.0000         
48               4512.0000        12125.0000       0.2000           10.0000         
49               6758.0000        13956.0000       0.2000           10.0000         
50               12603.0000       4660.0000        0.2000           10.0000         
51               2813.0000        11913.0000       0.0000           0.0000          
52               13589.0000       7032.0000        0.0000           0.0000          
53               8113.0000        1771.0000        0.0000           0.0000          
54               10027.0000       13795.0000       0.0000           0.0000          
55               1553.0000        4472.0000        0.0000           0.0000          
