3_20_6

WT_NUMBER
20

BSS_NUMBER
3

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME
1                6604.0000        1423.0000        0.2000           10.0000
2                6573.0000        10120.0000       0.2000           10.0000
3                10190.0000       4748.0000        0.2000           10.0000
4                7643.0000        9166.0000        0.2000           10.0000
5                7708.0000        7633.0000        0.2000           10.0000
6                5915.0000        7973.0000        0.2000           10.0000
7                8819.0000        5612.0000        0.2000           10.0000
8                1371.0000        3765.0000        0.2000           10.0000
9                6082.0000        2935.0000        0.2000           10.0000
10               8734.0000        8131.0000        0.2000           10.0000
11               3029.0000        1570.0000        0.2000           10.0000
12               4441.0000        1345.0000        0.2000           10.0000
13               6571.0000        5872.0000        0.2000           10.0000
14               2329.0000        4859.0000        0.2000           10.0000
15               7724.0000        10171.0000       0.2000           10.0000
16               9489.0000        6423.0000        0.2000           10.0000
17               6877.0000        2432.0000        0.2000           10.0000
18               5426.0000        2254.0000        0.2000           10.0000
19               4773.0000        6463.0000        0.2000           10.0000
20               8582.0000        6494.0000        0.2000           10.0000
21               2549.0000        2963.0000        0.0000           0.0000
22               9546.0000        8610.0000        0.0000           0.0000
23               1113.0000        1159.0000        0.0000           0.0000          
