5_50_8

WT_NUMBER
50

BSS_NUMBER
5

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME    
1                8446.0000        13900.0000       0.2000           10.0000         
2                6381.0000        7262.0000        0.2000           10.0000         
3                6932.0000        13299.0000       0.2000           10.0000         
4                3364.0000        9435.0000        0.2000           10.0000         
5                9420.0000        9785.0000        0.2000           10.0000         
6                8054.0000        8693.0000        0.2000           10.0000         
7                14977.0000       12950.0000       0.2000           10.0000         
8                7326.0000        2632.0000        0.2000           10.0000         
9                8135.0000        9857.0000        0.2000           10.0000         
10               12537.0000       5837.0000        0.2000           10.0000         
11               9069.0000        4725.0000        0.2000           10.0000         
12               12045.0000       8912.0000        0.2000           10.0000         
13               4305.0000        12433.0000       0.2000           10.0000         
14               1501.0000        8535.0000        0.2000           10.0000         
15               5446.0000        6572.0000        0.2000           10.0000         
16               14460.0000       9270.0000        0.2000           10.0000         
17               14172.0000       11869.0000       0.2000           10.0000         
18               3183.0000        11789.0000       0.2000           10.0000         
19               2129.0000        2870.0000        0.2000           10.0000         
20               9133.0000        3613.0000        0.2000           10.0000         
21               10758.0000       13222.0000       0.2000           10.0000         
22               3282.0000        8223.0000        0.2000           10.0000         
23               6710.0000        4467.0000        0.2000           10.0000         
24               1227.0000        13061.0000       0.2000           10.0000         
25               7072.0000        10756.0000       0.2000           10.0000         
26               3251.0000        4218.0000        0.2000           10.0000         
27               2155.0000        13833.0000       0.2000           10.0000         
28               12247.0000       1098.0000        0.2000           10.0000         
29               4050.0000        6109.0000        0.2000           10.0000         
30               10219.0000       7789.0000        0.2000           10.0000         
31               1096.0000        5702.0000        0.2000           10.0000         
32               4842.0000        8063.0000        0.2000           10.0000         
33               3259.0000        14496.0000       0.2000           10.0000         
34               13048.0000       14573.0000       0.2000           10.0000         
35               7145.0000        6144.0000        0.2000           10.0000         
36               8045.0000        11241.0000       0.2000           10.0000         
37               11207.0000       6227.0000        0.2000           10.0000         
38               13247.0000       9380.0000        0.2000           10.0000         
39               6330.0000        2965.0000        0.2000           10.0000         
40               2707.0000        7016.0000        0.2000           10.0000         
41               6072.0000        12052.0000       0.2000           10.0000         
42               14561.0000       8126.0000        0.2000           10.0000         
43               2334.0000        10515.0000       0.2000           10.0000         
44               9214.0000        1262.0000        0.2000           10.0000         
45               11592.0000       4144.0000        0.2000           10.0000         
46               12689.0000       2506.0000        0.2000           10.0000         
47               13526.0000       1117.0000        0.2000           10.0000         
48               5599.0000        9364.0000        0.2000           10.0000         
49               5082.0000        13584.0000       0.2000           10.0000         
50               3637.0000        3075.0000        0.2000           10.0000         
51               9429.0000        2205.0000        0.0000           0.0000          
52               14589.0000       12282.0000       0.0000           0.0000          
53               2171.0000        13109.0000       0.0000           0.0000          
54               2136.0000        3519.0000        0.0000           0.0000          
55               8249.0000        9147.0000        0.0000           0.0000          
