3_20_4

WT_NUMBER
20

BSS_NUMBER
3

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME    
1                6173.0000        3318.0000        0.2000           10.0000         
2                4199.0000        5675.0000        0.2000           10.0000         
3                3832.0000        1979.0000        0.2000           10.0000         
4                9705.0000        1680.0000        0.2000           10.0000         
5                9823.0000        7889.0000        0.2000           10.0000         
6                6747.0000        1806.0000        0.2000           10.0000         
7                8481.0000        3969.0000        0.2000           10.0000         
8                7002.0000        8383.0000        0.2000           10.0000         
9                1996.0000        3211.0000        0.2000           10.0000         
10               5742.0000        6330.0000        0.2000           10.0000         
11               6226.0000        5427.0000        0.2000           10.0000         
12               4059.0000        9708.0000        0.2000           10.0000         
13               9908.0000        3878.0000        0.2000           10.0000         
14               1194.0000        8566.0000        0.2000           10.0000         
15               4378.0000        10849.0000       0.2000           10.0000         
16               1522.0000        7267.0000        0.2000           10.0000         
17               7844.0000        9459.0000        0.2000           10.0000         
18               2057.0000        4161.0000        0.2000           10.0000         
19               10045.0000       2973.0000        0.2000           10.0000         
20               3418.0000        3597.0000        0.2000           10.0000         
21               10953.0000       7970.0000        0.0000           0.0000          
22               2864.0000        9220.0000        0.0000           0.0000          
23               6219.0000        2070.0000        0.0000           0.0000          
