6_65_1

WT_NUMBER
65

BSS_NUMBER
6

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME    
1                7379.0000        6982.0000        0.2000           10.0000         
2                10175.0000       14422.0000       0.2000           10.0000         
3                4530.0000        9604.0000        0.2000           10.0000         
4                11540.0000       2638.0000        0.2000           10.0000         
5                14146.0000       14418.0000       0.2000           10.0000         
6                13484.0000       7781.0000        0.2000           10.0000         
7                11312.0000       4064.0000        0.2000           10.0000         
8                1350.0000        11713.0000       0.2000           10.0000         
9                11563.0000       9132.0000        0.2000           10.0000         
10               2031.0000        14879.0000       0.2000           10.0000         
11               6979.0000        2747.0000        0.2000           10.0000         
12               5357.0000        11765.0000       0.2000           10.0000         
13               8561.0000        2465.0000        0.2000           10.0000         
14               5027.0000        6046.0000        0.2000           10.0000         
15               3784.0000        5482.0000        0.2000           10.0000         
16               13992.0000       13165.0000       0.2000           10.0000         
17               8169.0000        7883.0000        0.2000           10.0000         
18               3231.0000        6651.0000        0.2000           10.0000         
19               2431.0000        10409.0000       0.2000           10.0000         
20               5702.0000        9773.0000        0.2000           10.0000         
21               1239.0000        10716.0000       0.2000           10.0000         
22               10012.0000       1250.0000        0.2000           10.0000         
23               9721.0000        4270.0000        0.2000           10.0000         
24               15998.0000       13223.0000       0.2000           10.0000         
25               12950.0000       4752.0000        0.2000           10.0000         
26               12765.0000       2209.0000        0.2000           10.0000         
27               15264.0000       15563.0000       0.2000           10.0000         
28               8185.0000        6042.0000        0.2000           10.0000         
29               2532.0000        12396.0000       0.2000           10.0000         
30               9575.0000        5759.0000        0.2000           10.0000         
31               4076.0000        4461.0000        0.2000           10.0000         
32               12038.0000       14034.0000       0.2000           10.0000         
33               7451.0000        11822.0000       0.2000           10.0000         
34               16552.0000       5533.0000        0.2000           10.0000         
35               12744.0000       15353.0000       0.2000           10.0000         
36               2014.0000        16901.0000       0.2000           10.0000         
37               7904.0000        4130.0000        0.2000           10.0000         
38               11482.0000       11383.0000       0.2000           10.0000         
39               14977.0000       16842.0000       0.2000           10.0000         
40               14760.0000       8180.0000        0.2000           10.0000         
41               16718.0000       2643.0000        0.2000           10.0000         
42               15085.0000       4530.0000        0.2000           10.0000         
43               1645.0000        3094.0000        0.2000           10.0000         
44               5084.0000        2486.0000        0.2000           10.0000         
45               3631.0000        15551.0000       0.2000           10.0000         
46               10604.0000       13397.0000       0.2000           10.0000         
47               2132.0000        6257.0000        0.2000           10.0000         
48               1253.0000        12811.0000       0.2000           10.0000         
49               16810.0000       9724.0000        0.2000           10.0000         
50               7052.0000        8292.0000        0.2000           10.0000         
51               13438.0000       12296.0000       0.2000           10.0000         
52               8817.0000        11468.0000       0.2000           10.0000         
53               3561.0000        8200.0000        0.2000           10.0000         
54               15847.0000       7597.0000        0.2000           10.0000         
55               11832.0000       1550.0000        0.2000           10.0000         
56               12227.0000       16954.0000       0.2000           10.0000         
57               5247.0000        14208.0000       0.2000           10.0000         
58               9502.0000        7061.0000        0.2000           10.0000         
59               13168.0000       14057.0000       0.2000           10.0000         
60               6495.0000        10750.0000       0.2000           10.0000         
61               15350.0000       9650.0000        0.2000           10.0000         
62               10069.0000       2589.0000        0.2000           10.0000         
63               8155.0000        9327.0000        0.2000           10.0000         
64               13928.0000       5324.0000        0.2000           10.0000         
65               13628.0000       3784.0000        0.2000           10.0000         
66               13816.0000       1011.0000        0.0000           0.0000          
67               14826.0000       14681.0000       0.0000           0.0000          
68               2095.0000        13213.0000       0.0000           0.0000          
69               1418.0000        1733.0000        0.0000           0.0000          
70               8015.0000        7036.0000        0.0000           0.0000          
71               16921.0000       7671.0000        0.0000           0.0000          
