4_35_1

WT_NUMBER
35

BSS_NUMBER
4

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME
1                9978.0000        5647.0000        0.2000           10.0000
2                8877.0000        10218.0000       0.2000           10.0000
3                7256.0000        7441.0000        0.2000           10.0000
4                7309.0000        4657.0000        0.2000           10.0000
5                3396.0000        12044.0000       0.2000           10.0000
6                3432.0000        4963.0000        0.2000           10.0000
7                10532.0000       7629.0000        0.2000           10.0000
8                12566.0000       11694.0000       0.2000           10.0000
9                12651.0000       8014.0000        0.2000           10.0000
10               2339.0000        1308.0000        0.2000           10.0000
11               4063.0000        2282.0000        0.2000           10.0000
12               7185.0000        2570.0000        0.2000           10.0000
13               3822.0000        5788.0000        0.2000           10.0000
14               1306.0000        5101.0000        0.2000           10.0000
15               8235.0000        6750.0000        0.2000           10.0000
16               2225.0000        6488.0000        0.2000           10.0000
17               7262.0000        9751.0000        0.2000           10.0000
18               8395.0000        12913.0000       0.2000           10.0000
19               5548.0000        5555.0000        0.2000           10.0000
20               5836.0000        4568.0000        0.2000           10.0000
21               12705.0000       6791.0000        0.2000           10.0000
22               2139.0000        12113.0000       0.2000           10.0000
23               9036.0000        11732.0000       0.2000           10.0000
24               7283.0000        12666.0000       0.2000           10.0000
25               11998.0000       12538.0000       0.2000           10.0000
26               6565.0000        1098.0000        0.2000           10.0000
27               3129.0000        9957.0000        0.2000           10.0000
28               9136.0000        7931.0000        0.2000           10.0000
29               4384.0000        9600.0000        0.2000           10.0000
30               10762.0000       3865.0000        0.2000           10.0000
31               6876.0000        10886.0000       0.2000           10.0000
32               8001.0000        5346.0000        0.2000           10.0000
33               7010.0000        6134.0000        0.2000           10.0000
34               3772.0000        11117.0000       0.2000           10.0000
35               12196.0000       5756.0000        0.2000           10.0000
36               4520.0000        3855.0000        0.0000           0.0000
37               11657.0000       8256.0000        0.0000           0.0000
38               4135.0000        12388.0000       0.0000           0.0000
39               3067.0000        9045.0000        0.0000           0.0000          
