6_65_1

WT_NUMBER
65

BSS_NUMBER
6

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME    
1                8989.0000        14271.0000       0.2000           10.0000         
2                11416.0000       4020.0000        0.2000           10.0000         
3                15026.0000       2671.0000        0.2000           10.0000         
4                6468.0000        14918.0000       0.2000           10.0000         
5                10270.0000       5207.0000        0.2000           10.0000         
6                14120.0000       4226.0000        0.2000           10.0000         
7                4082.0000        14542.0000       0.2000           10.0000         
8                15532.0000       7268.0000        0.2000           10.0000         
9                6556.0000        6595.0000        0.2000           10.0000         
10               4951.0000        7365.0000        0.2000           10.0000         
11               13954.0000       5765.0000        0.2000           10.0000         
12               16397.0000       14625.0000       0.2000           10.0000         
13               6985.0000        16251.0000       0.2000           10.0000         
14               4654.0000        4511.0000        0.2000           10.0000         
15               12850.0000       3511.0000        0.2000           10.0000         
16               1086.0000        6217.0000        0.2000           10.0000         
17               2239.0000        6951.0000        0.2000           10.0000         
18               13822.0000       9147.0000        0.2000           10.0000         
19               5090.0000        9915.0000        0.2000           10.0000         
20               14404.0000       10541.0000       0.2000           10.0000         
21               10243.0000       15816.0000       0.2000           10.0000         
22               5246.0000        13771.0000       0.2000           10.0000         
23               12740.0000       11339.0000       0.2000           10.0000         
24               3470.0000        7546.0000        0.2000           10.0000         
25               1587.0000        8625.0000        0.2000           10.0000         
26               12128.0000       1107.0000        0.2000           10.0000         
27               13533.0000       13629.0000       0.2000           10.0000         
28               2936.0000        5850.0000        0.2000           10.0000         
29               11802.0000       14034.0000       0.2000           10.0000         
30               10302.0000       1474.0000        0.2000           10.0000         
31               16358.0000       12514.0000       0.2000           10.0000         
32               13451.0000       15437.0000       0.2000           10.0000         
33               13705.0000       12046.0000       0.2000           10.0000         
34               8110.0000        12190.0000       0.2000           10.0000         
35               13854.0000       8034.0000        0.2000           10.0000         
36               3326.0000        10417.0000       0.2000           10.0000         
37               9130.0000        11259.0000       0.2000           10.0000         
38               11504.0000       9875.0000        0.2000           10.0000         
39               2833.0000        16119.0000       0.2000           10.0000         
40               5954.0000        5025.0000        0.2000           10.0000         
41               12523.0000       5876.0000        0.2000           10.0000         
42               14777.0000       1491.0000        0.2000           10.0000         
43               14988.0000       15679.0000       0.2000           10.0000         
44               12212.0000       2256.0000        0.2000           10.0000         
45               11836.0000       15393.0000       0.2000           10.0000         
46               2330.0000        4878.0000        0.2000           10.0000         
47               14797.0000       13866.0000       0.2000           10.0000         
48               9989.0000        2552.0000        0.2000           10.0000         
49               16488.0000       1569.0000        0.2000           10.0000         
50               16448.0000       4240.0000        0.2000           10.0000         
51               1563.0000        14227.0000       0.2000           10.0000         
52               1504.0000        12262.0000       0.2000           10.0000         
53               4748.0000        8936.0000        0.2000           10.0000         
54               3909.0000        5567.0000        0.2000           10.0000         
55               1703.0000        16289.0000       0.2000           10.0000         
56               11232.0000       6681.0000        0.2000           10.0000         
57               1937.0000        3454.0000        0.2000           10.0000         
58               15872.0000       11572.0000       0.2000           10.0000         
59               1678.0000        10910.0000       0.2000           10.0000         
60               4732.0000        6269.0000        0.2000           10.0000         
61               13983.0000       6925.0000        0.2000           10.0000         
62               3870.0000        3256.0000        0.2000           10.0000         
63               10557.0000       13234.0000       0.2000           10.0000         
64               5263.0000        15256.0000       0.2000           10.0000         
65               15532.0000       5042.0000        0.2000           10.0000         
66               2471.0000        6763.0000        0.0000           0.0000          
67               10429.0000       14503.0000       0.0000           0.0000          
68               14039.0000       2820.0000        0.0000           0.0000          
69               2653.0000        15616.0000       0.0000           0.0000          
70               16446.0000       10054.0000       0.0000           0.0000          
71               10005.0000       1222.0000        0.0000           0.0000
