4_35_8

WT_NUMBER
35

BSS_NUMBER
4

Radius
5000

Duration
480.0

SPEED
1000.0

Consumption rate
0.02

CUST_NO          XCOORD           YCOORD           SERVICE_ENERGY   SERVICE_TIME    
1                11887.0000       9249.0000        0.2000           10.0000         
2                10216.0000       11792.0000       0.2000           10.0000         
3                7148.0000        1690.0000        0.2000           10.0000         
4                7846.0000        11896.0000       0.2000           10.0000         
5                11752.0000       7300.0000        0.2000           10.0000         
6                11448.0000       10333.0000       0.2000           10.0000         
7                9678.0000        9133.0000        0.2000           10.0000         
8                8073.0000        10842.0000       0.2000           10.0000         
9                8495.0000        7009.0000        0.2000           10.0000         
10               6290.0000        10655.0000       0.2000           10.0000         
11               10515.0000       1560.0000        0.2000           10.0000         
12               6634.0000        3590.0000        0.2000           10.0000         
13               7353.0000        8333.0000        0.2000           10.0000         
14               10653.0000       6050.0000        0.2000           10.0000         
15               7762.0000        9526.0000        0.2000           10.0000         
16               9257.0000        10449.0000       0.2000           10.0000         
17               9761.0000        4956.0000        0.2000           10.0000         
18               8755.0000        1557.0000        0.2000           10.0000         
19               10932.0000       7963.0000        0.2000           10.0000         
20               8546.0000        4705.0000        0.2000           10.0000         
21               7897.0000        2431.0000        0.2000           10.0000         
22               10103.0000       3342.0000        0.2000           10.0000         
23               11884.0000       5616.0000        0.2000           10.0000         
24               9492.0000        7888.0000        0.2000           10.0000         
25               11931.0000       11750.0000       0.2000           10.0000         
26               6632.0000        9026.0000        0.2000           10.0000         
27               8042.0000        5913.0000        0.2000           10.0000         
28               11034.0000       3918.0000        0.2000           10.0000         
29               9728.0000        6860.0000        0.2000           10.0000         
30               10479.0000       9867.0000        0.2000           10.0000         
31               7641.0000        3718.0000        0.2000           10.0000         
32               8639.0000        3591.0000        0.2000           10.0000         
33               8882.0000        11803.0000       0.2000           10.0000         
34               6059.0000        1437.0000        0.2000           10.0000         
35               5901.0000        2481.0000        0.2000           10.0000         
36               11043.0000       10544.0000       0.0000           0.0000          
37               10739.0000       2363.0000        0.0000           0.0000          
38               1249.0000        10889.0000       0.0000           0.0000
39               1036.0000        2317.0000        0.0000           0.0000
